受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020-02-01,430005,熊本県,-,集計は４日から開始
2020-02-02,430005,熊本県,-,
2020-02-03,430005,熊本県,-,
2020-02-04,430005,熊本県,-,55
2020-02-05,430005,熊本県,-,34
2020-02-06,430005,熊本県,-,26
2020-02-07,430005,熊本県,-,25
2020-02-08,430005,熊本県,-,20
2020-02-09,430005,熊本県,-,5
2020-02-10,430005,熊本県,-,25
2020-02-11,430005,熊本県,-,6
2020-02-12,430005,熊本県,-,29
2020-02-13,430005,熊本県,-,25
2020-02-14,430005,熊本県,-,54
2020-02-15,430005,熊本県,-,40
2020-02-16,430005,熊本県,-,34
2020-02-17,430005,熊本県,-,77
2020-02-18,430005,熊本県,-,75
2020-02-19,430005,熊本県,-,81
2020-02-20,430005,熊本県,-,88
2020-02-21,430005,熊本県,-,139
2020-02-22,430005,熊本県,-,385
2020-02-23,430005,熊本県,-,286
2020-02-24,430005,熊本県,-,380
2020-02-25,430005,熊本県,-,660
2020-02-26,430005,熊本県,-,546
2020-02-27,430005,熊本県,-,534
2020-02-28,430005,熊本県,-,394
2020-02-29,430005,熊本県,-,281
2020-03-01,430005,熊本県,-,229
2020-03-02,430005,熊本県,-,411
2020-03-03,430005,熊本県,-,280
2020-03-04,430005,熊本県,-,277
2020-03-05,430005,熊本県,-,275
2020-03-06,430005,熊本県,-,301
2020-03-07,430005,熊本県,-,200
2020-03-08,430005,熊本県,-,164
2020-03-09,430005,熊本県,-,355
2020-03-10,430005,熊本県,-,241
2020-03-11,430005,熊本県,-,188
2020-03-12,430005,熊本県,-,190
2020-03-13,430005,熊本県,-,201
2020-03-14,430005,熊本県,-,143
2020-03-15,430005,熊本県,-,128
2020-03-16,430005,熊本県,-,215
2020-03-17,430005,熊本県,-,185
2020-03-18,430005,熊本県,-,204
2020-03-19,430005,熊本県,-,184
2020-03-20,430005,熊本県,-,139
2020-03-21,430005,熊本県,-,110
2020-03-22,430005,熊本県,-,109
2020-03-23,430005,熊本県,-,179
2020-03-24,430005,熊本県,-,151
2020-03-25,430005,熊本県,-,134
2020-03-26,430005,熊本県,-,146
2020-03-27,430005,熊本県,-,226
2020-03-28,430005,熊本県,-,156
2020-03-29,430005,熊本県,-,167
2020-03-30,430005,熊本県,-,314
2020-03-31,430005,熊本県,-,331
2020-04-01,430005,熊本県,-,399
2020-04-02,430005,熊本県,-,406
2020-04-03,430005,熊本県,-,395
2020-04-04,430005,熊本県,-,308
2020-04-05,430005,熊本県,-,331
2020-04-06,430005,熊本県,-,550
2020-04-07,430005,熊本県,-,402
2020-04-08,430005,熊本県,-,433
2020-04-09,430005,熊本県,-,463
2020-04-10,430005,熊本県,-,430
2020-04-11,430005,熊本県,-,343
2020-04-12,430005,熊本県,-,395
2020-04-13,430005,熊本県,-,629
2020-04-14,430005,熊本県,-,386
2020-04-15,430005,熊本県,-,463
2020-04-16,430005,熊本県,-,503
2020-04-17,430005,熊本県,-,487
2020-04-18,430005,熊本県,-,399
2020-04-19,430005,熊本県,-,275
2020-04-20,430005,熊本県,-,556
2020-04-21,430005,熊本県,-,394
2020-04-22,430005,熊本県,-,415
2020-04-23,430005,熊本県,-,446
2020-04-24,430005,熊本県,-,394
2020-04-25,430005,熊本県,-,287
2020-04-26,430005,熊本県,-,272
2020-04-27,430005,熊本県,-,421
2020-04-28,430005,熊本県,-,291
2020-04-29,430005,熊本県,-,233
2020-04-30,430005,熊本県,-,331
2020-05-01,430005,熊本県,-,272
2020-05-02,430006,熊本県,-,189
2020-05-03,430007,熊本県,-,240
2020-05-04,430008,熊本県,-,244
2020-05-05,430009,熊本県,-,217
2020-05-06,430010,熊本県,-,295
2020-05-07,430011,熊本県,-,
